condition,n_videos,n_windows,true_positive_window_rate,predicted_positive_window_rate,mean_audio_fake_probability,window_accuracy,window_balanced_accuracy,window_f1,window_precision,window_recall,window_auc,clip_predicted_audio_fake_rate,clip_mean_max_probability,mean_sampled_window_iou,decode_ok_rate
fake_video_fake_audio,1001,64064,0.048357892107892105,0.015484515484515484,0.23583166301250458,0.9438061938061938,0.5334152742523868,0.1198044009779951,0.2469758064516129,0.07908327953518399,0.6672760639988418,0.22077922077922077,0.4312271823460882,0.03465641737894706,1.0
fake_video_real_audio,972,62208,0.0,0.009436085390946503,0.22497639060020447,0.9905639146090535,,0.0,0.0,0.0,,0.16563786008230452,0.4043414322314439,0.0,1.0
real,3000,192000,0.0,0.008234375,0.22538360953330994,0.991765625,,0.0,0.0,0.0,,0.151,0.3996333336904645,0.0,1.0
real_video_fake_audio,1027,65728,0.04920277507302824,0.014392648490749756,0.23349180817604065,0.9436769717624148,0.5312946010658706,0.11435406698564593,0.2526427061310782,0.07390228818800247,0.6530775501139513,0.2103213242453749,0.4281031594638003,0.03180069329183502,1.0
