epoch,train_loss,train_window_accuracy,train_window_balanced_accuracy,train_window_f1,train_window_precision,train_window_recall,train_window_auc,val_loss,val_window_accuracy,val_window_balanced_accuracy,val_window_f1,val_window_precision,val_window_recall,val_window_auc
1,0.7276318195887974,0.9808063616071429,0.5006952452403853,0.00767433138109114,0.022895506971940094,0.0046097324275613475,0.5565645696231318,0.7385462627410889,0.9819973958333333,0.49986151736995194,0.0017328519855595668,0.013015184381778741,0.0009282178217821782,0.5979744688664665
2,0.711006389788219,0.9816902901785715,0.5036331924624852,0.0167221073451407,0.06176665928713748,0.009670040205185082,0.6080771995756543,0.7223598788579305,0.9820442708333333,0.5030784946978762,0.013731941067086254,0.09108159392789374,0.007425742574257425,0.6304132863445899
3,0.702806728873934,0.9811908482142857,0.5077773143365956,0.030879815986198964,0.09058704453441295,0.018612227921807847,0.629818873023537,0.7274780060450236,0.9823854166666667,0.5029478796540444,0.01284296555750146,0.1134020618556701,0.006806930693069307,0.6382461140155908
4,0.6991772587299347,0.9798895089285714,0.5118378049731286,0.043222003929273084,0.09235307465395962,0.028212948842367948,0.6379834045605586,0.7175334850947063,0.9813776041666666,0.5096579210228617,0.03742091802396016,0.14404145077720207,0.021503712871287127,0.6470038688494619
5,0.6961188827582768,0.9784162946428572,0.5151972872868028,0.05173090124546435,0.08838806970509383,0.03656592263967836,0.6446566390292091,0.7141879666646321,0.9798880208333334,0.5135380309676585,0.049242890557675736,0.12055455093429777,0.03094059405940594,0.6512410514484148
6,0.6949105858121599,0.97791796875,0.517824861192979,0.05825935886146743,0.09295967190704033,0.042423402190489394,0.6473332523206351,0.7158248926798503,0.9710078125,0.5318300377937861,0.08241984669908514,0.08819897689186805,0.07735148514851485,0.6561806312464701
7,0.6934412819317409,0.9768493303571428,0.5199751039649384,0.06246327683615819,0.08975191583322509,0.047899625675863026,0.6503583879312633,0.7104473632176717,0.9762395833333334,0.5247592413716706,0.07539521686258614,0.10928319623971798,0.05754950495049505,0.6584654483543317
8,0.6924096132346562,0.9771339285714286,0.5213300145029939,0.0662230527323276,0.09667332002661344,0.05036046028004991,0.6527867067551,0.710204763730367,0.9789921875,0.5206851560887145,0.06922810661128419,0.13617793917385385,0.04641089108910891,0.6593030580130762
9,0.690939831665584,0.9764927455357143,0.5234588350499514,0.07047816589068602,0.09698184247282443,0.055351448773048664,0.6552612330294534,0.7068850920995077,0.978140625,0.525650009483064,0.08121716287215412,0.13884730538922155,0.05739480198019802,0.6612982647648499
10,0.6906020056179591,0.9757405133928572,0.5247982342329531,0.07245727453113998,0.09424432480435145,0.058852072646610284,0.6552222678335757,0.7070314040184021,0.9770364583333333,0.5243282025481748,0.07568134171907757,0.11736020806241873,0.055847772277227724,0.6599048097301639
11,0.6895658841814314,0.9759949776785715,0.5265469409516399,0.0769478359762247,0.10100839389330178,0.06214473866629697,0.6560725965087211,0.7051521352132162,0.9730052083333334,0.5316294012326305,0.08540674077995412,0.09938398357289528,0.07487623762376237,0.6613347013186284
12,0.688795571906226,0.9753420758928572,0.5266924426941686,0.07614627109076083,0.0959582652684829,0.06311520865104672,0.657040340190022,0.7062778005599976,0.9754765625,0.5297691235844639,0.08599437057167815,0.11539463401927585,0.06853341584158416,0.6590977750685818
13,0.6882046949522835,0.9753772321428571,0.5286024408258234,0.08052013003250813,0.10096153846153846,0.06696242894773326,0.6583862904391277,0.7055557627677917,0.975984375,0.5288109433718419,0.08475585549821357,0.1182170542635659,0.06605816831683169,0.660069261951047
14,0.688400956937245,0.9751166294642857,0.528452961009318,0.07970610694900213,0.09851538186827202,0.06692776930542077,0.6577847403839688,0.7079223817189535,0.9717447916666667,0.5344096226244086,0.0888478333893181,0.09717119764878765,0.08183787128712872,0.6599958872848687
15,0.6874675120966776,0.9752075892857143,0.5288742023737774,0.08081267844581454,0.1002463812750231,0.06769028143629557,0.6597518705330572,0.7168089283307394,0.9553671875,0.550789425733343,0.09062450257335385,0.06896551724137931,0.13211633663366337,0.6633007711614598
16,0.6866219804286957,0.9744458705357143,0.5297485322223706,0.08132886633097278,0.09654679685639438,0.07025509496741994,0.6608009894322933,0.7067357339859008,0.9752057291666667,0.5331286353493376,0.0931517287360701,0.12118959107806691,0.07564975247524752,0.6572418645454203
17,0.6864161522729056,0.9748404017857143,0.5306649678588026,0.08406468389403543,0.10156096603180836,0.07171079994454457,0.6612928069727674,0.7047511548995972,0.9722369791666666,0.5376249870971587,0.09629566839026871,0.10650665666604163,0.08787128712871287,0.6640715405531715
18,0.6858675428458623,0.9744938616071429,0.5309491108047287,0.08400969959317822,0.09958663942604647,0.07264661028698184,0.6630151470534632,0.7069278008143107,0.9762630208333334,0.5305492209830832,0.08950154829687344,0.12630391880462363,0.06930693069306931,0.6609304059368308
