timestamp,cpu_percent,ram_used_gb,ram_total_gb,ram_percent,torch_gpu_allocated_gb,torch_gpu_reserved_gb,torch_gpu_max_allocated_gb,nvml_gpu_used_gb,nvml_gpu_total_gb,nvml_gpu_util_percent,nvml_gpu_mem_util_percent,gpu_temp_c,gpu_power_w,run_name,phase,epoch,batch_idx,batch_time_sec,running_loss
1783906971.1831434,7.0,25.853069305419922,1510.354694366455,2.4,0.5794668197631836,16.119140625,14.995590686798096,17.3349609375,80.0,0,0,40,71.062,visual_convnext_tiny_16frames_balanced20k,train,1,0,7.095787525177002,0.7364654541015625
1783906987.5225365,7.3,25.653560638427734,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,91,49,43,244.722,visual_convnext_tiny_16frames_balanced20k,train,1,10,0.2611367702484131,0.708313681862571
1783907008.9753048,7.3,25.561382293701172,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,73,35,44,249.555,visual_convnext_tiny_16frames_balanced20k,train,1,20,0.24046635627746582,0.6995308285667783
1783907030.6763122,7.2,25.659194946289062,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,82,41,44,87.067,visual_convnext_tiny_16frames_balanced20k,train,1,30,0.24359846115112305,0.699340081983997
1783907071.1838877,7.1,25.740612030029297,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,0,0,42,71.632,visual_convnext_tiny_16frames_balanced20k,train,1,40,0.2604560852050781,0.6979349648080221
1783907094.6196644,7.3,25.826614379882812,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,36,17,43,72.089,visual_convnext_tiny_16frames_balanced20k,train,1,50,0.26168370246887207,0.6926363776711857
1783907118.5842986,7.2,25.69800567626953,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,62,30,45,72.913,visual_convnext_tiny_16frames_balanced20k,train,1,60,0.2560553550720215,0.6890672777519852
1783907144.219107,7.1,25.81208038330078,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,85,44,46,219.319,visual_convnext_tiny_16frames_balanced20k,train,1,70,0.25545668601989746,0.6775065677266725
1783907183.3215957,7.1,25.851993560791016,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,83,46,45,240.259,visual_convnext_tiny_16frames_balanced20k,train,1,80,0.2576780319213867,0.667726139963409
1783907205.9764059,7.1,25.830570220947266,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,0,0,44,72.429,visual_convnext_tiny_16frames_balanced20k,train,1,90,0.2435314655303955,0.659092400100205
1783907229.7764878,7.1,25.787979125976562,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,0,0,45,73.52,visual_convnext_tiny_16frames_balanced20k,train,1,100,0.2475264072418213,0.6480514318636148
1783907251.8841338,7.1,25.680908203125,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,91,47,47,80.49,visual_convnext_tiny_16frames_balanced20k,train,1,110,0.25513148307800293,0.6396082714871243
1783907297.1782203,7.2,25.82004165649414,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,91,47,45,76.093,visual_convnext_tiny_16frames_balanced20k,train,1,120,0.24205350875854492,0.6226626703561831
1783907318.37639,7.1,25.923267364501953,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,0,0,45,72.815,visual_convnext_tiny_16frames_balanced20k,train,1,130,0.23845839500427246,0.5993011179771132
1783907343.0790405,7.1,25.73796844482422,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,96,50,47,75.996,visual_convnext_tiny_16frames_balanced20k,train,1,140,0.24351072311401367,0.5834001087127848
1783907364.1191823,7.1,25.692405700683594,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,80,37,47,96.275,visual_convnext_tiny_16frames_balanced20k,train,1,150,0.25533199310302734,0.5689163246494255
1783907403.681366,7.1,25.692035675048828,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,0,0,45,72.718,visual_convnext_tiny_16frames_balanced20k,train,1,160,0.29311203956604004,0.5510162929570452
1783907427.8839781,7.1,25.813373565673828,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,85,42,46,86.595,visual_convnext_tiny_16frames_balanced20k,train,1,170,0.29502296447753906,0.5371483458935866
1783907452.9186606,7.0,25.81014633178711,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3388671875,80.0,1,1,46,73.449,visual_convnext_tiny_16frames_balanced20k,train,1,180,0.2964038848876953,0.5215461351265565
