condition,n_videos,n_frames,true_positive_frame_rate,predicted_positive_frame_rate,mean_frame_fake_probability,frame_accuracy,frame_balanced_accuracy,frame_f1,frame_precision,frame_recall,frame_auc,clip_predicted_visual_fake_rate,clip_mean_max_probability,mean_sampled_frame_iou
fake_video_fake_audio,2890,184960,0.050378460207612455,0.18914359861591695,0.304623544216156,0.8207504325259516,0.715377085625342,0.2516364949663672,0.15932997941916305,0.5981970379909852,0.7953403415837565,0.8342560553633218,0.6870733149014542,0.24174490178128832
fake_video_real_audio,2871,183744,0.05428204458376872,0.19777516544757925,0.30780118703842163,0.8135884709160571,0.71512596848024,0.2604396078939414,0.16596037424325813,0.6046721475837177,0.796291525890432,0.8289794496691049,0.6910372601166103,0.2477114530496632
real,2987,191168,0.0,0.17492467358553732,0.295947402715683,0.8250753264144627,,0.0,0.0,0.0,,0.6591898225644459,0.5881255943469073,0.0
real_video_fake_audio,2843,181952,0.0,0.16418615898698558,0.2909068465232849,0.8358138410130144,,0.0,0.0,0.0,,0.6436862469222652,0.5813978682218085,0.0
