condition,n_videos,n_frames,true_positive_frame_rate,predicted_positive_frame_rate,mean_frame_fake_probability,frame_accuracy,frame_balanced_accuracy,frame_f1,frame_precision,frame_recall,frame_auc,clip_predicted_visual_fake_rate,clip_mean_max_probability,mean_sampled_frame_iou
fake_video_fake_audio,1001,64064,0.04971590909090909,0.06201610889110889,0.18872421979904175,0.9178946053946054,0.6241434414400462,0.26515786532550994,0.2388623206644853,0.2979591836734694,0.7824138485267234,0.5454545454545454,0.5220859693744769,0.1612332154944088
fake_video_real_audio,972,62208,0.055346579218107,0.07002314814814815,0.19276444613933563,0.9107992541152263,0.6358841102953203,0.288498525451981,0.25826446280991733,0.326749927388905,0.787978133217864,0.5442386831275721,0.5322245989577392,0.17553359687038989
real,3000,192000,0.0,0.041114583333333336,0.15918788313865662,0.9588854166666667,,0.0,0.0,0.0,,0.3016666666666667,0.3906194287861387,0.0
real_video_fake_audio,1027,65728,0.0,0.0469662852969815,0.17253759503364563,0.9530337147030185,,0.0,0.0,0.0,,0.34469328140214217,0.41270625634080826,0.0
